                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.51529,                 1.0586,                0.31328,                0.94221,                 0.9611,                0.98208,                0.98658,                0.92241,                0.95791,                0.97883,                0.98556,                0.88773,                  0.414,                0.83858,                0.27617,                0.93737,              0.0004556,              0.0004556,              0.0004556
                     42,                0.49834,                0.98542,                 0.2895,                0.93438,                0.96096,                0.96209,                0.98272,                 0.9164,                 0.9577,                0.95883,                0.98188,                0.89055,                0.41259,                0.82902,                0.29843,                0.94147,               0.000416,               0.000416,               0.000416
                     43,                0.48475,                0.95895,                0.28444,                0.92334,                 0.9664,                0.98365,                0.98723,                0.92755,                   0.96,                0.97717,                0.98664,                0.89778,                0.38646,                0.79163,                0.25786,                0.92232,              0.0003764,              0.0003764,              0.0003764
                     44,                0.46901,                0.94886,                0.27406,                0.91803,                0.95734,                0.96743,                0.98694,                0.93317,                0.95412,                0.96417,                0.98649,                0.90713,                0.37591,                0.78015,                0.26696,                0.92866,              0.0003368,              0.0003368,              0.0003368
                     45,                0.45374,                0.93147,                0.26843,                0.90757,                0.97012,                 0.9772,                0.98732,                0.93655,                0.95567,                0.98308,                0.98658,                0.90693,                 0.3729,                0.77306,                0.24891,                0.92243,              0.0002972,              0.0002972,              0.0002972
                     46,                0.45566,                0.92089,                0.26855,                0.91262,                0.96307,                0.97683,                0.98615,                0.93543,                0.95635,                 0.9772,                0.98581,                0.90528,                 0.3699,                0.76325,                0.25104,                0.91788,              0.0002576,              0.0002576,              0.0002576
                     47,                0.44089,                0.89868,                 0.2577,                0.89537,                0.96109,                0.98046,                0.98744,                0.93681,                0.96652,                0.96417,                0.98623,                0.91232,                0.37826,                0.77816,                0.25025,                0.92783,               0.000218,               0.000218,               0.000218
                     48,                0.43219,                0.88618,                0.25422,                0.89503,                0.96771,                0.97608,                0.98818,                0.94043,                0.96448,                0.97283,                0.98714,                0.91617,                0.36292,                0.76186,                0.24192,                0.92593,              0.0001784,              0.0001784,              0.0001784
                     49,                0.42548,                0.86959,                0.24826,                0.89185,                0.97216,                0.97231,                0.98817,                0.94345,                0.96529,                0.97394,                0.98711,                0.91777,                0.35556,                0.75401,                0.23872,                0.92048,              0.0001388,              0.0001388,              0.0001388
                     50,                  0.428,                0.88042,                0.24966,                0.89429,                0.96778,                0.97846,                0.98729,                0.93955,                0.96603,                0.97264,                0.98612,                0.91447,                0.35304,                0.75144,                0.23708,                0.91866,               9.92e-05,               9.92e-05,               9.92e-05
